date,AAPL,CRM,CSCO,CVX,DIS,INTC,JPM,MCD,MSFT,VZ,WBA
2024-06-03 08:00:00+00:00,36,0,54,0,0,29,56,8,0,0,0
2024-06-04 08:00:00+00:00,36,0,54,0,0,29,56,8,0,0,0
2024-06-05 08:00:00+00:00,37,0,54,0,0,28,56,8,0,0,0
2024-06-06 08:00:00+00:00,37,0,54,0,0,28,57,9,0,0,0
2024-06-07 08:00:00+00:00,37,0,54,0,0,27,57,9,0,0,0
2024-06-10 08:00:00+00:00,37,0,54,0,0,27,57,9,0,0,0
2024-06-11 08:00:00+00:00,37,0,54,0,0,27,57,10,0,0,0
2024-06-12 08:00:00+00:00,37,0,55,0,0,26,57,10,0,0,0
2024-06-13 08:00:00+00:00,37,0,54,1,0,26,58,10,0,0,0
2024-06-14 08:00:00+00:00,37,0,55,2,0,25,58,11,0,0,0
2024-06-17 08:00:00+00:00,37,0,55,3,0,25,58,11,0,0,0
2024-06-18 08:00:00+00:00,37,0,55,4,0,24,58,11,0,0,0
2024-06-20 08:00:00+00:00,37,0,55,5,0,24,59,12,0,0,0
2024-06-21 08:00:00+00:00,38,0,55,6,0,23,59,12,0,0,0
2024-06-24 08:00:00+00:00,38,0,55,7,0,23,59,12,0,0,0
2024-06-25 08:00:00+00:00,38,0,55,8,0,22,60,13,0,0,0
2024-06-26 08:00:00+00:00,38,0,55,10,0,21,60,13,0,0,0
2024-06-27 08:00:00+00:00,38,0,55,11,0,21,61,14,0,0,0
2024-06-28 08:00:00+00:00,38,0,55,12,0,20,61,14,0,0,0
2024-07-01 08:00:00+00:00,39,0,55,14,0,19,62,15,0,0,0
2024-07-02 08:00:00+00:00,39,0,55,16,0,18,62,15,0,0,0
2024-07-03 08:00:00+00:00,39,0,55,18,0,18,63,16,0,0,0
2024-07-05 08:00:00+00:00,39,0,55,20,0,17,64,17,0,0,0
2024-07-08 08:00:00+00:00,40,0,55,22,0,16,65,18,0,0,0
2024-07-09 08:00:00+00:00,40,0,55,25,0,15,66,18,0,0,0
2024-07-10 08:00:00+00:00,40,0,56,28,0,14,67,19,0,0,0
2024-07-11 08:00:00+00:00,41,0,56,31,0,12,69,21,0,0,0
2024-07-12 08:00:00+00:00,41,0,56,36,0,11,71,23,0,0,0
2024-07-15 08:00:00+00:00,41,0,55,41,0,10,73,25,0,0,0
2024-07-16 08:00:00+00:00,42,0,55,47,0,7,76,29,0,0,0
2024-07-17 08:00:00+00:00,42,6,53,54,0,7,79,35,0,0,0
2024-07-18 08:00:00+00:00,35,30,46,60,0,10,83,46,0,0,0
2024-07-19 08:00:00+00:00,0,0,0,1,0,0,79,0,0,0,0
2024-07-22 08:00:00+00:00,-17,0,-10,0,0,3,20,0,0,0,0
2024-07-23 08:00:00+00:00,-16,0,-10,0,0,2,19,0,0,0,0
2024-07-24 08:00:00+00:00,-15,0,-10,0,0,0,18,0,0,0,0
2024-07-25 08:00:00+00:00,-15,0,-9,0,0,4,17,0,0,0,0
2024-07-26 08:00:00+00:00,-17,0,-10,0,0,0,20,0,0,0,0
2024-07-29 08:00:00+00:00,-18,0,-10,1,0,0,20,0,0,0,0
2024-07-30 08:00:00+00:00,-16,0,-10,0,0,0,19,0,0,0,0
2024-07-31 08:00:00+00:00,-16,0,-10,0,0,4,18,0,0,0,0
